date,time_id,start_time,end_time,region_from,region_to,v0_num_traj,v10_num_traj,v20_num_traj,v30_num_traj,v40_num_traj,v50_num_traj,v60_num_traj
2013/3/4,7,360,420,6,11,3,3,3,0,0,0,0
2013/3/4,7,360,420,6,18,3,3,3,0,0,0,0
2013/3/4,7,360,420,6,19,1,1,1,0,0,0,0
2013/3/4,7,360,420,6,24,1,1,1,0,0,0,0
2013/3/4,7,360,420,6,29,1,1,1,0,0,0,0
2013/3/4,7,360,420,6,33,2,2,2,0,0,0,0
2013/3/4,7,360,420,6,37,1,1,1,0,0,0,0
2013/3/4,7,360,420,7,1,26,26,26,0,0,0,0
2013/3/4,7,360,420,7,5,33,33,33,0,0,0,0
2013/3/4,7,360,420,7,9,34,34,34,0,0,0,0
2013/3/4,7,360,420,7,14,2,2,2,2,0,0,0
2013/3/4,7,360,420,7,52,3,3,3,0,0,0,0
2013/3/4,7,360,420,8,1,17,17,17,0,0,0,0
2013/3/4,7,360,420,8,2,30,30,30,0,0,0,0
2013/3/4,7,360,420,8,4,12,12,12,0,0,0,0
2013/3/4,7,360,420,8,5,24,24,24,0,0,0,0
2013/3/4,7,360,420,8,8,11,11,11,0,0,0,0
2013/3/4,7,360,420,8,16,4,4,4,0,0,0,0
2013/3/4,7,360,420,9,1,36,36,36,0,0,0,0
2013/3/4,7,360,420,9,5,48,48,48,0,0,0,0
2013/3/4,7,360,420,9,7,3,3,3,0,0,0,0
2013/3/4,7,360,420,9,9,2,2,2,0,0,0,0
2013/3/4,7,360,420,9,14,2,2,2,0,0,0,0
2013/3/4,7,360,420,9,17,2,2,2,0,0,0,0
2013/3/4,7,360,420,10,1,29,29,29,0,0,0,0
2013/3/4,7,360,420,10,2,56,56,56,0,0,0,0
2013/3/4,7,360,420,10,3,1,1,1,0,0,0,0
2013/3/4,7,360,420,10,4,52,52,52,0,0,0,0
2013/3/4,7,360,420,10,5,42,42,42,0,0,0,0
2013/3/4,7,360,420,10,10,2,2,2,2,0,0,0
2013/3/4,7,360,420,10,15,1,1,1,0,0,0,0
2013/3/4,7,360,420,10,22,5,5,5,0,0,0,0
2013/3/4,7,360,420,10,28,2,2,2,2,0,0,0
2013/3/4,7,360,420,10,31,1,1,1,0,0,0,0
2013/3/4,7,360,420,10,32,1,1,1,1,0,0,0
2013/3/4,7,360,420,10,34,1,1,1,0,0,0,0
2013/3/4,7,360,420,11,1,40,40,40,0,0,0,0
2013/3/4,7,360,420,11,3,66,66,66,0,0,0,0
2013/3/4,7,360,420,11,5,4,4,4,0,0,0,0
2013/3/4,7,360,420,11,6,17,17,17,17,0,0,0
2013/3/4,7,360,420,11,18,4,4,4,0,0,0,0
2013/3/4,7,360,420,11,24,2,2,2,0,0,0,0
2013/3/4,7,360,420,11,33,1,1,1,0,0,0,0
2013/3/4,7,360,420,11,37,2,2,2,0,0,0,0
2013/3/4,7,360,420,12,1,27,27,27,0,0,0,0
2013/3/4,7,360,420,12,2,29,29,29,0,0,0,0
2013/3/4,7,360,420,12,3,25,25,25,0,0,0,0
2013/3/4,7,360,420,12,5,7,7,7,0,0,0,0
2013/3/4,7,360,420,12,12,4,4,0,0,0,0,0
2013/3/4,7,360,420,12,22,6,6,6,0,0,0,0
2013/3/4,7,360,420,12,25,1,1,1,1,0,0,0
2013/3/4,7,360,420,13,1,26,26,26,0,0,0,0
2013/3/4,7,360,420,13,3,1,1,1,0,0,0,0
2013/3/4,7,360,420,13,5,7,7,7,0,0,0,0
2013/3/4,7,360,420,13,6,35,35,35,0,0,0,0
2013/3/4,7,360,420,13,11,1,1,1,0,0,0,0
2013/3/4,7,360,420,13,18,1,1,1,0,0,0,0
2013/3/4,7,360,420,13,33,1,1,1,0,0,0,0
2013/3/4,7,360,420,14,1,15,15,15,0,0,0,0
